id,lama hukuman (bulan)
doc_12112,144
doc_5204,72
doc_21163,96
doc_10510,60
doc_14376,14
doc_9120,60
doc_20200,30
doc_5967,14
doc_6479,30
doc_19790,5
doc_7584,10
doc_13701,18
doc_6920,180
doc_21447,96
doc_1689,12
doc_5517,26
doc_20332,14
doc_11582,228
doc_16455,16
doc_16264,18
doc_4615,24
doc_15847,12
doc_16762,1
doc_15061,5
doc_20758,10
doc_19642,4
doc_7150,10
doc_2450,60
doc_13124,48
doc_5118,22
doc_16165,48
doc_21069,4
doc_14471,96
doc_4823,68
doc_6678,30
doc_9193,24
doc_15514,10
doc_455,24
doc_21097,120
doc_21560,108
doc_6959,5
doc_165,18
doc_3853,60
doc_6741,12
doc_183,108
doc_8355,15
doc_8307,8
doc_21609,24
doc_9710,12
doc_18461,4
doc_8883,12
doc_14734,48
doc_23001,48
doc_100,12
doc_8448,27
doc_18802,10
doc_3743,16
doc_6357,72
doc_8933,18
doc_2765,84
doc_834,12
doc_13050,120
doc_4788,18
doc_7088,24
doc_1708,28
doc_255,15
doc_2350,18
doc_21763,108
doc_1303,120
doc_4475,12
doc_70,60
doc_11027,6
doc_23271,18
doc_8198,2
doc_8884,8
doc_8100,1
doc_3931,12
doc_12103,20
doc_8589,24
doc_12352,7
doc_934,48
doc_22189,72
doc_21287,72
doc_13815,24
doc_22094,84
doc_16331,6
doc_9365,72
doc_21061,12
doc_8065,24
doc_7912,72
doc_18723,16
doc_2010,168
doc_16040,108
doc_9771,17
doc_5643,12
doc_7072,78
doc_14299,96
doc_8806,72
doc_18501,72
doc_2875,8
doc_11884,14
doc_22851,168
doc_1038,48
doc_22345,5
doc_2705,16
doc_4849,78
doc_5997,16
doc_13949,108
doc_23173,5
doc_3358,5
doc_16159,7
doc_20709,4
doc_17049,48
doc_12431,7
doc_16273,144
doc_23028,6
doc_3736,8
doc_19254,12
doc_23150,11
doc_4716,18
doc_15316,22
doc_23019,20
doc_14801,24
doc_5001,8
doc_17310,12
doc_19250,66
doc_13427,72
doc_18365,15
doc_15355,12
doc_10608,27
doc_11986,18
doc_15327,108
doc_12716,12
doc_1541,12
doc_11732,16
doc_2698,4
doc_2287,12
doc_5000,144
doc_22541,60
doc_22028,48
doc_17300,12
doc_12790,144
doc_21548,12
doc_6799,16
doc_11623,6
doc_11093,108
doc_18067,72
doc_21764,16
doc_18585,63
doc_7323,60
doc_6418,13
doc_8479,18
doc_9530,20
doc_12291,78
doc_12841,16
doc_19000,96
doc_15403,12
doc_18700,24
doc_9071,108
doc_6507,4
doc_12702,84
doc_6423,48
doc_8363,12
doc_17812,84
doc_1417,20
doc_17743,6
doc_14373,14
doc_11831,18
doc_3199,58
doc_1334,54
doc_21602,78
doc_17649,14
doc_6849,92
doc_13964,84
doc_8543,3
doc_18848,72
doc_1985,60
doc_8632,48
doc_2436,48
doc_13251,48
doc_10805,14
doc_10563,77
doc_305,6
doc_17928,10
doc_18713,24
doc_19853,96
doc_11041,15
doc_6194,42
doc_20146,10
doc_7766,12
doc_20768,36
doc_3921,1
doc_23115,3
doc_5377,72
doc_13407,10
doc_13555,48
doc_7078,3
doc_5953,42
doc_1841,6
doc_20166,42
doc_6076,24
doc_10430,32
doc_22927,24
doc_2814,24
doc_12544,48
doc_537,13
doc_20091,15
doc_1140,1
doc_11604,7
doc_7501,24
doc_13175,15
doc_7443,60
doc_4117,6
doc_9755,15
doc_469,15
doc_15216,19
doc_9802,24
doc_22497,2
doc_18667,48
doc_7655,24
doc_16721,60
doc_14876,30
doc_6406,12
doc_23422,36
doc_618,3
doc_17512,72
doc_1311,3
doc_12177,6
doc_1013,66
doc_18828,36
doc_13906,2
doc_5301,12
doc_5906,102
doc_3252,144
doc_18202,24
doc_13109,48
doc_20581,96
doc_3548,12
doc_12075,60
doc_22773,48
doc_3866,6
doc_3788,48
doc_18843,6
doc_12548,10
doc_7773,51
doc_5237,120
doc_19411,120
doc_13249,22
doc_21941,24
doc_18112,72
doc_7265,15
doc_9357,1
doc_21194,16
doc_22546,8
doc_12590,36
doc_2210,8
doc_14102,78
doc_19179,90
doc_18743,90
doc_18010,15
doc_22280,72
doc_290,10
doc_1122,36
doc_2657,60
doc_3479,216
doc_15506,12
doc_15186,84
doc_5764,4
doc_9842,30
doc_19055,6
doc_2658,180
doc_4958,12
doc_5519,30
doc_10008,12
doc_18892,12
doc_14810,84
doc_23659,11
doc_3527,54
doc_20306,66
doc_17580,7
doc_1836,14
doc_1877,72
doc_21701,16
doc_19765,28
doc_11143,3
doc_7639,5
doc_17002,84
doc_1043,60
doc_13029,12
doc_10677,7
doc_3943,16
doc_983,7
doc_21605,24
doc_23169,54
doc_17613,10
doc_7832,5
doc_9889,48
doc_10783,9
doc_15013,6
doc_2597,84
doc_22336,72
doc_17617,42
doc_16008,5
doc_4798,8
doc_8120,24
doc_4489,2
doc_5145,48
doc_22673,18
doc_378,120
doc_358,19
doc_9427,30
doc_16979,14
doc_17929,60
doc_11188,60
doc_17431,78
doc_21232,72
doc_10354,60
doc_8478,96
doc_12231,54
doc_5538,3
doc_16415,12
doc_13665,84
doc_13766,24
doc_8171,12
doc_18465,168
doc_21460,72
doc_7505,48
doc_2235,78
doc_15291,12
doc_246,72
doc_13890,84
doc_22083,18
doc_5810,84
doc_21914,17
doc_22618,66
doc_16329,20
doc_4353,66
doc_17591,30
doc_7145,18
doc_6349,4
doc_6065,18
doc_12303,12
doc_7677,24
doc_9110,3
doc_20901,12
doc_17566,27
doc_6196,5
doc_8117,5
doc_12711,8
doc_19931,114
doc_17546,11
doc_23158,5
doc_15789,51
doc_19480,14
doc_6057,1
doc_15538,60
doc_12750,14
doc_12216,1
doc_15436,18
doc_2719,9
doc_6380,6
doc_9645,51
doc_17170,168
doc_1257,8
doc_17127,12
doc_9283,30
doc_5386,8
doc_2641,18
doc_4319,44
doc_22481,10
doc_17802,14
doc_7669,51
doc_12561,8
doc_2653,48
doc_15389,36
doc_9145,18
doc_20056,6
doc_19952,120
doc_19722,24
doc_22353,120
doc_6474,21
doc_1337,12
doc_22614,72
doc_114,54
doc_15123,18
doc_473,78
doc_15695,18
doc_12433,17
doc_2919,48
doc_5223,48
doc_10128,30
doc_17555,2
doc_8970,48
doc_19602,18
doc_5867,4
doc_4287,60
doc_16927,30
doc_13716,2
doc_15979,216
doc_17536,60
doc_18102,54
doc_18702,18
doc_849,7
doc_5050,60
doc_16442,14
doc_4572,60
doc_11853,24
doc_10213,16
doc_7628,18
doc_10160,16
doc_381,60
doc_13532,54
doc_11864,132
doc_21720,84
doc_19383,7
doc_8230,7
doc_22865,54
doc_20806,8
doc_10245,12
doc_136,26
doc_19708,96
doc_15855,108
doc_6544,2
doc_8617,132
doc_15298,90
doc_16613,6
doc_14518,15
doc_18030,18
doc_18402,75
doc_4746,24
doc_18086,48
doc_16557,10
doc_20223,3
doc_16178,10
doc_9812,78
doc_9061,36
doc_13958,30
doc_2585,96
doc_13678,5
doc_13647,13
doc_2088,60
doc_13689,12
doc_9363,54
doc_3040,6
doc_13054,108
doc_14086,8
doc_3998,88
doc_16958,108
doc_14862,6
doc_6567,27
doc_23591,8
doc_14138,96
doc_16149,84
doc_23400,84
doc_3289,144
doc_11843,3
doc_12748,7
doc_426,12
doc_19637,90
doc_19101,36
doc_20205,96
doc_23280,8
doc_5269,60
doc_4694,66
doc_8488,8
doc_15768,24
doc_6811,66
doc_2532,12
doc_11627,12
doc_15096,14
doc_19633,72
doc_9749,18
doc_9384,30
doc_7016,54
doc_4112,22
doc_11317,72
doc_10978,48
doc_5361,96
doc_12280,84
doc_5236,4
doc_21860,36
doc_2198,24
doc_11056,18
doc_22895,7
doc_654,12
doc_21243,96
doc_12796,42
doc_7663,1
doc_3235,144
doc_19044,60
doc_17094,60
doc_19312,12
doc_18781,14
doc_2100,7
doc_18241,12
doc_16564,10
doc_14545,6
doc_1276,36
doc_9508,30
doc_9243,20
doc_4305,18
doc_13609,20
doc_17466,156
doc_20475,18
doc_2133,48
doc_20391,12
doc_18716,22
doc_12693,2
doc_16090,66
doc_12514,60
doc_21912,18
doc_18869,36
doc_4133,26
doc_4623,8
doc_567,7
doc_22726,96
doc_12573,84
doc_17839,8
doc_5382,96
doc_9300,8
doc_5459,48
doc_18101,144
doc_21842,6
doc_18135,8
doc_6948,66
doc_12899,30
doc_19544,18
doc_20559,36
doc_1796,20
doc_10183,12
doc_1058,48
doc_7688,96
doc_2630,84
doc_11375,14
doc_13191,4
doc_4817,48
doc_21340,120
doc_15688,96
doc_20879,28
doc_16089,5
doc_13341,18
doc_446,2
doc_20111,24
doc_4801,20
doc_2544,4
doc_4624,108
doc_20771,7
doc_21139,24
doc_20592,48
doc_285,120
doc_999,78
doc_18938,48
doc_5021,10
doc_21341,1
doc_14047,96
doc_7362,60
doc_16689,36
doc_16753,48
doc_21628,12
doc_4769,54
doc_4282,12
doc_7200,18
doc_18839,72
doc_4534,2
doc_21664,48
doc_10019,30
doc_7531,108
doc_10485,10
doc_7041,36
doc_3662,36
doc_14983,13
doc_5427,24
doc_2380,72
doc_21844,36
doc_11319,12
doc_683,8
doc_112,7
doc_21691,24
doc_7325,1
doc_9660,84
doc_3412,15
doc_3978,1
doc_22600,72
doc_16309,132
doc_7394,10
doc_12971,12
doc_10343,2
doc_14160,12
doc_10139,24
doc_4316,24
doc_17588,20
doc_12778,54
doc_9332,30
doc_2662,192
doc_5703,12
doc_8887,12
doc_7021,8
doc_17821,84
doc_15297,1
doc_3789,84
doc_9422,60
doc_18958,18
doc_8728,10
doc_6260,30
doc_21327,3
doc_7600,60
doc_12404,60
doc_19352,84
doc_5943,10
doc_15210,66
doc_11774,10
doc_18598,3
doc_16334,120
doc_16058,8
doc_7335,6
doc_13247,18
doc_16779,18
doc_6221,36
doc_18596,9
doc_13195,24
doc_8575,24
doc_3652,48
doc_7412,12
doc_3685,24
doc_21415,11
doc_18553,22
doc_2482,10
doc_23560,12
doc_13009,20
doc_6904,18
doc_14177,12
doc_21562,8
doc_7533,18
doc_14929,36
doc_11507,72
doc_1603,30
doc_21878,24
doc_11648,4
doc_15109,5
doc_13411,84
doc_21313,18
doc_11747,108
doc_21236,44
doc_23038,24
doc_7122,18
doc_12217,22
doc_14355,24
doc_11035,48
doc_15857,60
doc_21147,48
doc_7069,108
doc_17887,4
doc_20755,48
doc_14991,5
doc_19163,60
doc_20882,24
doc_22797,48
doc_85,18
doc_15232,6
doc_3852,3
doc_20919,30
doc_11611,26
doc_16698,10
doc_3608,18
doc_18856,30
doc_6154,12
doc_21437,7
doc_1321,3
doc_17061,42
doc_9565,15
doc_5381,72
doc_5818,78
doc_16332,62
doc_14612,30
doc_6116,24
doc_21917,108
doc_8361,6
doc_15954,12
doc_1144,15
doc_552,48
doc_22501,54
doc_17960,14
doc_23064,6
doc_21670,16
doc_17140,48
doc_150,180
doc_3070,20
doc_95,72
doc_7626,24
doc_19370,20
doc_9962,10
doc_915,24
doc_8689,18
doc_21443,27
doc_11505,18
doc_17473,24
doc_1497,30
doc_22581,60
doc_8524,12
doc_10477,180
doc_4886,42
doc_17204,28
doc_13346,30
doc_14495,24
doc_7874,12
doc_23228,12
doc_23136,48
doc_13428,1
doc_12742,6
doc_23170,2
doc_4902,120
doc_11244,36
doc_16810,3
doc_13472,18
doc_9479,216
doc_7285,8
doc_5569,3
doc_1968,20
doc_21310,60
doc_17355,30
doc_23550,4
doc_1635,60
doc_14519,108
doc_7403,6
doc_14987,9
doc_13070,12
doc_13078,54
doc_623,5
doc_6247,6
doc_927,3
doc_11267,16
doc_13626,20
doc_18606,6
doc_8963,18
doc_8811,228
doc_1333,60
doc_5150,18
doc_22830,5
doc_2689,60
doc_1715,15
doc_16353,60
doc_2060,18
doc_8616,14
doc_13218,18
doc_3856,15
doc_10862,66
doc_8123,72
doc_7519,14
doc_15602,12
doc_7581,22
doc_16739,15
doc_17624,72
doc_7846,96
doc_22496,12
doc_2819,10
doc_10072,72
doc_951,13
doc_5363,5
doc_8980,16
doc_15753,10
doc_17799,36
doc_8611,90
doc_17606,96
doc_21152,60
doc_6386,7
doc_1640,12
doc_5201,18
doc_10106,16
doc_11302,84
doc_6452,54
doc_8608,168
doc_13339,72
doc_16430,6
doc_14908,10
doc_21493,66
doc_19996,30
doc_7317,20
doc_1966,156
doc_20095,34
doc_20583,84
doc_20635,7
doc_2026,24
doc_12257,60
doc_4964,84
doc_4128,108
doc_21107,54
doc_7682,96
doc_2929,4
doc_13170,21
doc_1791,16
doc_6955,30
doc_22047,18
doc_11662,48
doc_21186,5
doc_7027,22
doc_10227,16
doc_6708,96
doc_10313,72
doc_1594,8
doc_4384,60
doc_7528,17
doc_701,6
doc_18254,84
doc_13578,84
doc_11733,16
doc_4030,228
doc_765,16
doc_11947,5
doc_9503,84
doc_4343,16
doc_759,60
doc_9571,72
doc_15919,90
doc_14492,48
doc_17905,72
doc_39,10
doc_3614,6
doc_5275,6
doc_11522,84
doc_7204,1
doc_2895,10
doc_5047,30
doc_14736,90
doc_12814,60
doc_20524,6
doc_18224,3
doc_18389,30
doc_23313,6
doc_10127,30
doc_7573,60
doc_6302,102
doc_2808,4
doc_18022,14
doc_18566,84
doc_8497,90
doc_19114,20
doc_20461,7
doc_9910,24
doc_22523,27
doc_19306,54
doc_253,18
doc_13703,5
doc_5083,66
doc_512,5
doc_18296,5
doc_17514,3
doc_16878,7
doc_3334,4
doc_21370,72
doc_9672,2
doc_16120,15
doc_12755,72
doc_11404,5
doc_751,7
doc_19918,120
doc_12366,12
doc_2349,60
doc_6075,36
doc_23074,72
doc_22907,12
doc_19985,60
doc_21881,96
doc_12960,24
doc_6941,36
doc_17266,8
doc_18341,28
doc_14933,24
doc_9528,22
doc_9620,12
doc_2391,6
doc_20617,84
doc_9252,108
doc_18123,90
doc_9486,4
doc_8574,18
doc_5298,24
doc_15852,54
doc_15259,6
doc_11151,7
doc_663,216
doc_9023,12
doc_6818,84
doc_18880,36
doc_3468,30
doc_9163,24
doc_13643,5
doc_20602,24
doc_5469,27
doc_3782,20
doc_9419,16
doc_430,3
doc_7681,96
doc_12623,12
doc_14984,12
doc_19856,72
doc_4882,58
doc_23502,96
doc_5144,14
doc_13487,78
doc_14753,48
doc_1227,5
doc_20077,54
doc_11120,16
doc_18256,15
doc_904,48
doc_7589,72
doc_8324,18
doc_17456,2
doc_2494,15
doc_86,3
doc_13868,24
doc_2992,28
doc_16530,20
doc_14148,84
doc_21529,10
doc_3080,96
doc_10900,9
doc_6390,102
doc_22361,240
doc_3017,4
doc_16362,18
doc_18614,12
doc_15172,10
doc_4989,3
doc_1654,60
doc_4363,27
doc_1533,30
doc_10225,18
doc_17699,8
doc_10994,18
doc_344,2
doc_14166,120
doc_14101,13
doc_8192,120
doc_9670,12
doc_15076,22
doc_1983,10
doc_19973,72
doc_3686,18
doc_8360,16
doc_10508,78
doc_6927,52
doc_23286,30
doc_23113,1
doc_9854,6
doc_754,15
doc_10496,10
doc_8645,16
doc_4064,6
doc_7984,84
doc_15892,72
doc_12403,96
doc_23237,72
doc_22090,6
doc_11777,7
doc_10355,30
doc_4245,144
doc_2439,54
doc_21036,56
doc_2070,42
doc_14401,72
doc_5225,18
doc_2176,12
doc_5084,60
doc_4106,90
doc_22162,42
doc_3551,4
doc_4354,18
doc_18555,5
doc_15659,66
doc_22635,22
doc_17476,14
doc_14913,84
doc_6403,72
doc_1355,5
doc_7458,72
doc_23253,24
doc_7745,5
doc_12530,8
doc_17237,108
doc_18895,18
doc_1100,60
doc_10017,10
doc_8627,22
doc_1084,7
doc_3605,8
doc_13085,10
doc_14771,21
doc_10573,26
doc_992,36
doc_1888,18
doc_17021,18
doc_14988,96
doc_22911,60
doc_6444,14
doc_9333,84
doc_12386,18
doc_18122,1
doc_14755,60
doc_18087,12
doc_21157,120
doc_5490,72
doc_8800,22
doc_21143,22
doc_8139,68
doc_8853,60
doc_20593,8
doc_15632,4
doc_8710,10
doc_7576,10
doc_4052,24
doc_5008,42
doc_13790,18
doc_19980,48
doc_7790,4
doc_16220,10
doc_15760,48
doc_19954,24
doc_4751,24
doc_814,18
doc_10133,12
doc_7884,54
doc_13039,48
doc_8433,78
doc_10187,84
doc_18339,12
doc_9481,180
doc_21160,17
doc_4469,54
doc_3108,30
doc_7926,27
doc_2007,72
doc_21438,60
doc_10009,12
doc_10647,12
doc_8172,84
doc_14129,14
doc_5965,72
doc_14873,12
doc_16813,1
doc_9151,36
doc_4386,48
doc_19944,96
doc_6671,6
doc_21762,8
doc_15685,78
doc_21537,18
doc_13688,24
doc_19232,54
doc_11307,78
doc_8695,10
doc_14207,18
doc_20231,48
doc_5273,84
doc_14036,12
doc_20350,60
doc_2575,12
doc_6501,108
doc_20054,108
doc_5862,24
doc_12287,1
doc_10674,48
doc_9170,132
doc_11107,15
doc_17116,15
doc_16298,54
doc_5,24
doc_10516,120
doc_11618,72
doc_1866,36
doc_4090,48
doc_19192,30
doc_19426,52
doc_20530,72
doc_15714,42
doc_21174,8
doc_12196,24
doc_21221,63
doc_18472,4
doc_22668,54
doc_22991,54
doc_1065,4
doc_23041,78
doc_18211,72
doc_23379,1
doc_16765,10
doc_7334,54
doc_6107,48
doc_333,42
doc_3990,54
doc_15237,12
doc_3693,60
doc_6867,14
doc_7463,15
doc_9420,36
doc_11401,72
doc_7815,16
doc_23449,24
doc_16835,30
doc_22834,21
doc_6735,8
doc_9173,16
doc_18730,66
doc_10499,24
doc_19374,72
doc_19214,6
doc_4468,58
doc_14659,3
doc_5170,42
doc_7727,18
doc_7946,18
doc_5632,12
doc_8733,2
doc_15836,24
doc_7415,48
doc_8679,60
doc_8057,24
doc_15233,60
doc_1684,6
doc_23380,84
doc_13495,6
doc_14549,60
doc_579,84
doc_12728,12
doc_14323,84
doc_20656,9
doc_14330,18
doc_15074,48
doc_5724,36
